PersonID,Forename,Surname,DateOfBirth,Created,Age,LADCUA,Ward,Gender,Ethnicity,Religion,TypeofParticipant_P_102,Ethnicitycontinued_P_96,LAC_P_45,PRU_P_98,WasatPRUbutnowbackinschool_P_100,ExcludedfromSchool_P_99,Wasexcludedfromschoolbutnowbackinschool_P_101,RiskCategory_P_46,JobTitle_P_37,AgencyOrganisationName_P_36,Hasthecandidaterecentlyhadproblemswith_P_58,Levelofriskcandidatepresentsto_P_59,Levelofriskcandidatepresentsto_P_60,Levelofriskcandidatepresentsto_P_61,Levelofriskcandidatepresentsto_P_62,Willthecandidatebeona_P_64,Doesthecandidatehaveanyhistoryfothefollowingoffences_P_65,Isthecandidatecurrently_P_66,Doesthecandidatehaveanyconcernswithfollowing_P_75,DNE_P_49,Anydependantsorcaringresponsibilities_P_116
234,,,,14 / 11 / 2016 @ 10:43:21,16yrs 8mths,Manchester,Baguley,F,White or White British,,Mentee,,,,,,,Low,Social worker,Protect,,Low,Low,Low,Low,,,,"Self-confidence, Working in a team",,
235,,,,17 / 11 / 2016 @ 13:57:36,15yrs 9mths,Stockport,Davenport and Cale Green,F,White - English / Welsh / Scottish / Northern Irish / British,No religion affiliation or belief,Mentee,,,,,,,,Social worker,Stockport Council,"Alcohol / Substance Abuse, Anger and/or violence issues, Domestic circumstances",High,Medium,Low,Low,,Violent,Pending a court hearing,"Self-confidence, Mental health issues",,
236,,,,17 / 11 / 2016 @ 14:04:59,15yrs 10mths,Stockport,Heatons North,F,White - English / Welsh / Scottish / Northern Irish / British,No religion affiliation or belief,Mentee,,No,No,,No,,Medium,Social worker,Stockport Council,"Alcohol / Substance Abuse, Anger and/or violence issues",Medium,Low,Low,Low,,,,Mental health issues,,
237,,,,17 / 11 / 2016 @ 14:43:27,16yrs 3mths,Manchester,Woodhouse Park,F,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,,,,,,High,Social worker,Manchester City Council,"Alcohol / Substance Abuse, Domestic circumstances",High,Low,Low,Low,,,,,,
238,,,,21 / 11 / 2016 @ 11:58:22,16yrs 1mth,Trafford,Davyhulme West,M,,,Mentee,,,,,,,Low,Pastoral Assistant,Wellacre Academy,,Low,Low,Low,Low,,,,"Self-confidence, Disability or learning need",,
241,,,,21 / 12 / 2016 @ 10:55:59,17yrs 6mths,Manchester,Moston,F,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,Yes,,,,,High,Team Leader,The Cambian Group,Alcohol / Substance Abuse,High,Low,Low,High,,,,"Basic Skills, Mental health issues",,
243,,,,18 / 01 / 2017 @ 16:20:48,16yrs 8mths,Stockport,Cheadle and Gatley,F,White - English / Welsh / Scottish / Northern Irish / British,,Mentee,,,,,,,High,social  worker,"Domestic Abuse and Child sexual exploitation team (DACSE)
1st  floor Fred Perry House
Edward Street
Stockport
SK1 3XE",Alcohol / Substance Abuse,High,Low,Low,Low,,,,,,
244,,,,19 / 01 / 2017 @ 10:57:33,14yrs 7mths,Stockport,Brinnington and Central,F,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,,,,,,Low,Social worker,Stockport Children's Services,,Low,Low,Low,Low,,,,Self-confidence,,
250,,,,07 / 02 / 2017 @ 10:10:09,16yrs 9mths,Manchester,Woodhouse Park,M,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,No,No,,No,,High,Social Worker,Manchester City Council,Anger and/or violence issues,High,Medium,Medium,Medium,,Violent,Pending a court hearing,"Self-confidence, Health problem/allergy, Mental health issues",,
245,,,,19 / 01 / 2017 @ 11:30:23,16yrs 5mths,Manchester,Levenshulme,F,White & Asian,Not declared,Mentee,,No,No,,No,,High,Social worker,Manchester Children's Services,,High,Low,Low,Low,,,,"Self-confidence, Mental health issues",,
247,,,,19 / 01 / 2017 @ 12:11:42,14yrs 6mths,Manchester,Didsbury East,F,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,,,,,,Not stated,Specialist Substance Misuse Practitioner,Eclypse,,,,,,,,,,,
252,,,,16 / 03 / 2017 @ 12:22:26,15yrs 6mths,Manchester,Harpurhey,F,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,No,No,,No,,Medium,Social worker,Manchester Children's Services,Other,Medium,Low,Low,Low,,,,,,
249,,,,26 / 01 / 2017 @ 13:13:19,17yrs 1mth,Manchester,Sharston,F,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,,,,,,High,Social worker,Manchester City Council,Domestic circumstances,High,Low,Low,Low,,,,"Basic Skills, Self-confidence, Disability or learning need, Mental health issues",,
251,,,,06 / 03 / 2017 @ 09:52:23,16yrs 2mths,Manchester,Northenden,M,Not declared,Not declared,Mentee,,No,Yes,,,,Low,Pastoral Support Officer,Manchester Secondary PRU,Alcohol / Substance Abuse,Low,,Low,Low,,,,,,
253,,,,16 / 03 / 2017 @ 13:02:48,12yrs 11mths,Manchester,Brooklands,F,Any other White background,Not declared,Mentee,,No,No,,No,,Low,Year Leader (Year 8),Manchester Health Academy,,Low,Low,Low,Low,,,,"Self-confidence, Mental health issues",,
254,,,,30 / 03 / 2017 @ 11:20:46,12yrs 11mths,Manchester,Northenden,F,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,No,No,,No,,Low,Year Leader Year 8,Manchester Health Academy,"Anger and/or violence issues, Domestic circumstances",Low,Low,Low,Low,,,,"Self-confidence, Mental health issues",,
255,,,,30 / 03 / 2017 @ 11:37:37,16yrs 7mths,Manchester,Hulme,F,Black / Black British - African,Christianity,Mentee,,No,,,No,,High,Social worker,Manchester City Council Children's Services,Other,High,Low,Low,Low,,,"Under bail conditions, Pending a court hearing","Self-confidence, Health problem/allergy, Mental health issues",,
256,,,,10 / 04 / 2017 @ 10:58:06,14yrs 2mths,Manchester,Brooklands,F,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,No,No,,No,,Medium,Year Lead,Manchester Health Academy,Anger and/or violence issues,Medium,Medium,Medium,Medium,,,,"Self-confidence, Mental health issues",,No
257,,,,11 / 04 / 2017 @ 10:27:05,15yrs 7mths,Manchester,Harpurhey,M,Not declared,Not declared,Mentee,,No,Yes,,No,,Medium,Pastoral Support Officer,Manchester Secondary PRU,Anger and/or violence issues,Medium,Low,Low,Low,,,,"Self-confidence, Mental health issues",,
258,,,,24 / 04 / 2017 @ 11:36:24,12yrs 6mths,Manchester,Ancoats and Clayton,M,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,No,No,,No,,Medium,Early Help Practitioner,Early Help Hub (North),"Anger and/or violence issues, Domestic circumstances",Low,Low,Low,Medium,,,,,,No
259,,,,24 / 04 / 2017 @ 11:59:13,15yrs 0mths,Stockport,Reddish North,F,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,No,No,,No,,Medium,Social workers,Stockport Children's Services,"Domestic circumstances, Other",Medium,Low,Low,Low,,,,Self-confidence,,No
260,,,,24 / 04 / 2017 @ 12:24:20,15yrs 6mths,Manchester,Cheetham,F,White & Black African,No religion affiliation or belief,Mentee,,No,No,,No,,Medium,Substance Misuse Practitioner,Eclypse,"Alcohol / Substance Abuse, Domestic circumstances",Medium,Low,Low,Low,,,,,,Yes
261,,,,24 / 04 / 2017 @ 15:22:49,21yrs 5mths,Trafford,Bucklow-St Martins,F,Not declared,Not declared,Mentee,,No,No,,No,,Low,HR Caseworker,Greater Manchester Police,Domestic circumstances,Low,Low,Low,Low,,,,"Basic Skills, Working in a team",,Yes
262,,,,25 / 04 / 2017 @ 10:22:03,13yrs 10mths,Manchester,Didsbury West,F,White - English / Welsh / Scottish / Northern Irish / British,Not declared,Mentee,,No,No,,No,,Medium,Social Worker,Manchester Children Services,Other,Medium,Low,Low,Low,,,,Self-confidence,,No
,Noble,Streich,5 / 01 / 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Thomas,Alone,17/11/2005,01 / 11 / 2016 @ 15:38:29,17yrs 7mths,Manchester,Burnage,F,mixed white black ,No religion affiliation or belief,Mentee,,No,Yes,,Yes,,Medium,Social Worker,Manchester Social Services,Anger and/or violence issues,Medium,Low,Low,Low,,,,"Basic Skills, Self-confidence, Working in a team, Mental health issues",,
226,Zorro,Jones,17/11/2005,24 / 10 / 2016 @ 13:16:15,12yrs 10mths,Manchester,Northenden,F,Black / Black British - African,,Mentee,NB: Home language is French,,,,,,,Year Leader Year 8,"Manchester Health Academy
",Other,Low,Low,Low,Low,,,,,,
